model,parameter_value,q,w_q,k,omega_re,omega_im,A,B,delta_f_r0,I_rho,local_combo,direct_A,direct_B,abs_A_error,abs_B_error
Hayward,0.4666666666666667,0.4666666666666667,,,0.7726979339330471,-0.09550065111155111,0.0037640603566528874,-0.007528120713305886,0.002509373571101925,0.0002995344059287748,9.984480197625925e-05,0.0037640603566529494,-0.007528120713305899,6.201636426617085e-17,1.3010426069826053e-17
Hayward,0.5,0.5,,,0.7733642494700542,-0.09533407222729931,0.004629629629629539,-0.009259259259259411,0.0030864197530863593,0.00036841422012012093,0.00012280474004004326,0.004629629629629629,-0.009259259259259259,9.020562075079397e-17,1.5265566588595902e-16
Hayward,0.5333333333333333,0.5333333333333333,,,0.7741256020884095,-0.09514373407271051,0.00561865569272979,-0.01123731138545958,0.00374577046181986,0.0004471184135146818,0.0001490394711715606,0.005618655692729767,-0.011237311385459534,2.3418766925686896e-17,4.683753385137379e-17
Hayward,0.5666666666666667,0.5666666666666667,,,0.774988327593536,-0.09492805269642889,0.006739368998628148,-0.013478737997256518,0.004492912665752098,0.0005363019447259733,0.00017876731490865973,0.006739368998628257,-0.013478737997256515,1.0928757898653885e-16,3.469446951953614e-18
Hayward,0.6,0.6,,,0.7759587617908571,-0.09468544414709863,0.008000000000000007,-0.016000000000000014,0.0053333333333333375,0.0006366197723675819,0.00021220659078919398,0.007999999999999998,-0.015999999999999997,8.673617379884035e-18,1.734723475976807e-17
Hayward,0.6333333333333333,0.6333333333333333,,,0.7770432404857958,-0.09441432447336395,0.009408779149519875,-0.01881755829903975,0.006272519433013249,0.0007487268550530235,0.00024957561835100786,0.009408779149519889,-0.018817558299039777,1.3877787807814457e-17,2.7755575615628914e-17
Hayward,0.6666666666666666,0.6666666666666666,,,0.7782480994837755,-0.09411310972386905,0.010973936899862924,-0.021947873799725626,0.007315957933241949,0.000873278151395867,0.0002910927171319537,0.010973936899862823,-0.021947873799725647,1.0061396160665481e-16,2.0816681711721685e-17
Hayward,0.7,0.7,,,0.7795796745902192,-0.0937802159472581,0.012703703703703662,-0.025407407407407434,0.008469135802469108,0.0010109286200096282,0.000336976206669877,0.012703703703703701,-0.025407407407407403,3.9898639947466563e-17,3.122502256758253e-17
Hayward,0.7333333333333333,0.7333333333333333,,,0.7810443016105503,-0.09341405919217534,0.014606310013717483,-0.029212620027434855,0.009737540009144988,0.0011623332195078936,0.0003874444065026302,0.014606310013717417,-0.029212620027434834,6.591949208711867e-17,2.0816681711721685e-17
Hayward,0.7666666666666666,0.7666666666666666,,,0.7826483163501918,-0.09301305550726494,0.016689986282578895,-0.03337997256515779,0.011126657521719263,0.0013281469085041789,0.00044271563616805963,0.01668998628257887,-0.03337997256515774,2.42861286636753e-17,4.85722573273506e-17
