w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.13043478260869565,0.0391304347826087,2.8728884113529323,0.19953035598027666,0.1976957928237706,0.007080266250401396,0.0052456498037632415,0.7981214239211066,-0.0988478964118853,0.028321065001605583,-0.0026228249018816208
0.13043478260869565,0.043478260869565216,2.858471420282229,0.20037121302257288,0.19831953850320128,0.007921123292697618,0.005869395483193929,0.8014848520902915,-0.09915976925160064,0.03168449317079047,-0.0029346977415969644
0.13043478260869565,0.04782608695652174,2.843993804717876,0.2012237778254075,0.19895213171011336,0.00877368809553225,0.006501988690106014,0.80489511130163,-0.09947606585505668,0.035094752382129,-0.003250994345053007
0.13043478260869565,0.052173913043478265,2.8294550168312385,0.2020883108042824,0.19959377160227698,0.00963822107440715,0.007143628582269634,0.8083532432171296,-0.09979688580113849,0.0385528842976286,-0.003571814291134817
0.13043478260869565,0.05652173913043478,2.8148545011333694,0.2029650802971146,0.20024466284621706,0.01051499056723934,0.0077945198262097115,0.8118603211884584,-0.10012233142310853,0.04205996226895736,-0.0038972599131048558
0.13043478260869565,0.06086956521739131,2.800191694303885,0.20385436287010308,0.20090501705577427,0.011404273140227822,0.008454874035766918,0.8154174514804123,-0.10045250852788713,0.04561709256091129,-0.004227437017883459
0.13043478260869565,0.06521739130434782,2.785466025074352,0.20475644363792714,0.20157505186447297,0.012306353908051876,0.009124908844465623,0.8190257745517086,-0.10078752593223649,0.0492254156322075,-0.004562454422232812
0.13043478260869565,0.06956521739130435,2.7706769140466085,0.20567161659906763,0.2022549921794256,0.013221526869192368,0.00980484915941826,0.8226864663962705,-0.1011274960897128,0.05288610747676947,-0.00490242457970913
0.13043478260869565,0.07391304347826087,2.755823773547932,0.2066001849870924,0.20294506970124354,0.014150095257217138,0.010494926681236194,0.8264007399483696,-0.10147253485062177,0.05660038102886855,-0.005247463340618097
0.13043478260869565,0.0782608695652174,2.740906007472775,0.2075424616388017,0.20364552374835246,0.015092371908926427,0.011195380728345111,0.8301698465552068,-0.10182276187417623,0.06036948763570571,-0.005597690364172556
0.13043478260869565,0.08260869565217391,2.7259230111141473,0.208498769380186,0.20435660096091032,0.016048679650310732,0.011906457940902976,0.833995077520744,-0.10217830048045516,0.06419471860124293,-0.005953228970451488
0.13043478260869565,0.08695652173913043,2.71087417099044,0.20946944143121318,0.20507855660133234,0.01701935170133792,0.012628413581324993,0.8378777657248527,-0.10253927830066617,0.06807740680535168,-0.006314206790662497
0.13043478260869565,0.09130434782608696,2.6957588646909363,0.21045482183052544,0.2058116537066383,0.018004732100650178,0.01336151068663094,0.8418192873221018,-0.10290582685331914,0.07201892840260071,-0.00668075534331547
0.13043478260869565,0.09565217391304348,2.680576460669416,0.21145526588120178,0.20655616395637652,0.01900517615132652,0.014106020936369174,0.8458210635248071,-0.10327808197818826,0.07602070460530608,-0.007053010468184587
0.13043478260869565,0.1,2.665326318090832,0.21247114061881592,0.20731236848973084,0.020021050888940656,0.014862225469723489,0.8498845624752637,-0.10365618424486542,0.08008420355576262,-0.0074311127348617445
0.17391304347826086,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.17391304347826086,0.004347826086956522,2.9857549342701946,0.19322123111155284,0.19303279207251955,0.0007711413816775814,0.0005826490525122074,0.7728849244462114,-0.09651639603625978,0.0030845655267103256,-0.0002913245262561037
