w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-1.0,0.008148148148148147,0.26,0.171280579859589,0.171280579859589,-0.10999999999999988,-0.10999999999999988,0.685122319438356,-0.0856402899297945,-0.08467803948114505,0.010584754935143131
-1.0,0.009629629629629627,0.24666666666666673,0.16743157806499148,0.16743157806499148,-0.13,-0.13,0.6697263122599659,-0.08371578903249574,-0.10007404665953512,0.01250925583244189
-1.0,0.01111111111111111,0.2333333333333334,0.163582576270394,0.16358257627039396,-0.1499999999999999,-0.15000000000000002,0.654330305081576,-0.08179128813519698,-0.11547005383792508,0.014433756729740649
-1.0,0.01259259259259259,0.22000000000000006,0.15973357447579647,0.15973357447579647,-0.16999999999999993,-0.16999999999999993,0.6389342979031859,-0.07986678723789824,-0.13086606101631515,0.016358257627039394
-1.0,0.014074074074074069,0.20666666666666675,0.15588457268119899,0.15588457268119899,-0.18999999999999984,-0.18999999999999984,0.6235382907247959,-0.07794228634059949,-0.1462620681947051,0.01828275852433814
-1.0,0.015555555555555555,0.19333333333333336,0.15203557088660147,0.15203557088660147,-0.20999999999999996,-0.20999999999999996,0.6081422835464059,-0.07601778544330073,-0.16165807537309518,0.020207259421636897
-1.0,0.017037037037037035,0.18000000000000005,0.14818656909200395,0.14818656909200395,-0.22999999999999998,-0.22999999999999998,0.5927462763680158,-0.07409328454600198,-0.17705408255148525,0.022131760318935656
-1.0,0.018518518518518514,0.16666666666666674,0.14433756729740643,0.14433756729740643,-0.2500000000000001,-0.2500000000000001,0.5773502691896257,-0.07216878364870322,-0.19245008972987532,0.024056261216234415
-1.0,0.02,0.15333333333333335,0.14048856550280894,0.14048856550280894,-0.27,-0.27,0.5619542620112358,-0.07024428275140447,-0.20784609690826528,0.02598076211353316
-0.9753086419753086,-0.02,0.4992653494226297,0.24035053680804153,0.24208082273359027,0.24889802413394446,0.25788885353795976,0.9614021472321661,-0.12104041136679514,0.19160178831266506,-0.024815366501857505
-0.9753086419753086,-0.018518518518518517,0.4869740889715707,0.2368023555429922,0.23840447214072252,0.23046113345735608,0.23878597549811098,0.9472094221719688,-0.11920223607036126,0.17740906325246775,-0.02297719120542363
-0.9753086419753086,-0.017037037037037038,0.47468282852051175,0.23325417427794282,0.23472812154785475,0.21202424278076748,0.2196830974582622,0.9330166971117713,-0.11736406077392737,0.16321633819227022,-0.02113901590898974
-0.9753086419753086,-0.015555555555555555,0.46239156806945275,0.2297059930128935,0.23105177095498694,0.1935873521041791,0.2005802194184132,0.918823972051574,-0.11552588547749347,0.1490236131320729,-0.01930084061255584
-0.9753086419753086,-0.014074074074074076,0.45010030761839376,0.22615781174784416,0.2273754203621192,0.17515046142759072,0.18147734137856442,0.9046312469913766,-0.1136877101810596,0.1348308880718756,-0.017462665316121964
-0.9753086419753086,-0.012592592592592593,0.43780904716733476,0.22260963048279478,0.22369906976925139,0.15671357075100212,0.1623744633387154,0.8904385219311791,-0.11184953488462569,0.12063816301167807,-0.015624490019688062
-0.9753086419753086,-0.011111111111111112,0.42551778671627577,0.2190614492177454,0.22002271917638364,0.13827668007441352,0.14327158529886663,0.8762457968709816,-0.11001135958819182,0.10644543795148054,-0.013786314723254187
-0.9753086419753086,-0.00962962962962963,0.41322652626521683,0.21551326795269607,0.21634636858351583,0.11983978939782514,0.12416870725901763,0.8620530718107843,-0.10817318429175792,0.09225271289128323,-0.011948139426820284
-0.9753086419753086,-0.00814814814814815,0.40093526581415784,0.21196508668764674,0.21267001799064805,0.10140289872123676,0.10506582921916885,0.847860346750587,-0.10633500899532403,0.07805998783108592,-0.010109964130386395
-0.9753086419753086,-0.006666666666666668,0.38864400536309884,0.20841690542259736,0.2089936673977803,0.08296600804464815,0.08596295117932007,0.8336676216903894,-0.10449683369889015,0.06386726277088839,-0.00827178883395252
-0.9753086419753086,-0.005185185185185187,0.37635274491203985,0.204868724157548,0.2053173168049125,0.06452911736805977,0.06686007313947107,0.819474896630192,-0.10265865840245625,0.04967453771069097,-0.006433613537518618
-0.9753086419753086,-0.0037037037037037056,0.36406148446098086,0.20132054289249865,0.20164096621204472,0.04609222669147117,0.047757195099622285,0.8052821715699946,-0.10082048310602236,0.03548181265049355,-0.004595438241084729
-0.9753086419753086,-0.0022222222222222227,0.35177022400992186,0.1977723616274493,0.19796461561917691,0.027655336014882792,0.028654317059773282,0.7910894465097972,-0.09898230780958846,0.02128908759029613,-0.0027572629446508262
